country;year;PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)
Africa;1990;46.71909567
Africa;1991;46.53055893
Africa;1992;46.34202218
Africa;1993;46.15348544
Africa;1994;45.9649487
Africa;1995;45.77641195
Africa;1996;45.76638035
Africa;1997;45.75634876
Africa;1998;45.74631716
Africa;1999;45.73628556
Africa;2000;45.72625397
Africa;2001;45.19158296
Africa;2002;44.65691194
Africa;2003;44.12224093
Africa;2004;43.58756992
Africa;2005;43.05289891
Africa;2006;42.87193311
Africa;2007;42.6909673
Africa;2008;42.5100015
Africa;2009;42.32903569
Africa;2010;42.14806988
Africa;2011;41.81991322
Africa;2012;43.2374383
Africa;2013;41.81167153
Africa;2014;40.93724746
Africa;2015;49.69521769
Africa;2016;48.28726421
Africa;2017;48.34794284
Europe;1990;18.56617065
Europe;1991;18.32971503
Europe;1992;18.09325942
Europe;1993;17.8568038
Europe;1994;17.62034819
Europe;1995;17.38389257
Europe;1996;17.2353679
Europe;1997;17.08684323
Europe;1998;16.93831855
Europe;1999;16.78979388
Europe;2000;16.64126921
Europe;2001;16.59678209
Europe;2002;16.55229498
Europe;2003;16.50780787
Europe;2004;16.46332076
Europe;2005;16.41883365
Europe;2006;16.43550968
Europe;2007;16.45218571
Europe;2008;16.46886174
Europe;2009;16.48553777
Europe;2010;16.5022138
Europe;2011;16.63120853
Europe;2012;15.31009149
Europe;2013;14.79927953
Europe;2014;14.2500361
Europe;2015;14.47106656
Europe;2016;13.43167628
Europe;2017;13.46590686
North America;1990;9.554770848
North America;1991;9.528190668
North America;1992;9.501610488
North America;1993;9.475030308
North America;1994;9.448450128
North America;1995;9.421869948
North America;1996;9.418330473
North America;1997;9.414790998
North America;1998;9.411251522
North America;1999;9.407712047
North America;2000;9.404172572
North America;2001;9.423584261
North America;2002;9.44299595
North America;2003;9.462407639
North America;2004;9.481819328
North America;2005;9.501231017
North America;2006;9.453619084
North America;2007;9.406007151
North America;2008;9.358395218
North America;2009;9.310783285
North America;2010;9.263171352
North America;2011;9.630811687
North America;2012;8.914901948
North America;2013;8.641442734
North America;2014;8.142225648
North America;2015;7.973349587
North America;2016;7.32104817
North America;2017;7.311074589
Asia;1990;47.82145091
Asia;1991;47.86814662
Asia;1992;47.91484234
Asia;1993;47.96153805
Asia;1994;48.00823377
Asia;1995;48.05492948
Asia;1996;48.16585071
Asia;1997;48.27677194
Asia;1998;48.38769317
Asia;1999;48.49861441
Asia;2000;48.60953564
Asia;2001;49.196309
Asia;2002;49.78308236
Asia;2003;50.36985572
Asia;2004;50.95662908
Asia;2005;51.54340244
Asia;2006;52.01228287
Asia;2007;52.48116331
Asia;2008;52.95004374
Asia;2009;53.41892417
Asia;2010;53.8878046
Asia;2011;54.52067386
Asia;2012;50.09644907
Asia;2013;50.86595329
Asia;2014;48.7694851
Asia;2015;48.64814787
Asia;2016;46.50386205
Asia;2017;46.90107292
